source_id,patch_name,leg_group,thermal_role,section_name,section_progress_0to1,station_name,T_w_k,T_bulk_k,deltaT_fw_k,wallHeatFlux_w_m2,q_total_w,patch_area_m2,h_internal_w_m2K,Nu_internal,Nu_ref_field,mdot_kg_s,abs_mdot_kg_s,areaAverage_p_rgh_pa
val_salt_test_2_coarse_mesh_laminar,junction_lower_left,junctions,junction,junctions,0.0,,,,,,-1.148139514,,,,,,,
val_salt_test_2_coarse_mesh_laminar,junction_lower_left_left_extension,junctions,junction,junctions,0.05,,,,,,-0.8453345195,,,,,,,
val_salt_test_2_coarse_mesh_laminar,junction_lower_left_left_step,junctions,junction,junctions,0.1,,,,,,0.0,,,,,,,
val_salt_test_2_coarse_mesh_laminar,junction_lower_left_left_stub,junctions,junction,junctions,0.15,,,,,,-5.347494101,,,,,,,
val_salt_test_2_coarse_mesh_laminar,junction_lower_left_lower_extension,junctions,junction,junctions,0.2,,,,,,-0.2656661354,,,,,,,
val_salt_test_2_coarse_mesh_laminar,junction_lower_left_lower_stub,junctions,junction,junctions,0.25,,,,,,-0.5402157363,,,,,,,
val_salt_test_2_coarse_mesh_laminar,junction_lower_right,junctions,junction,junctions,0.3,,,,,,-1.150395362,,,,,,,
val_salt_test_2_coarse_mesh_laminar,junction_lower_right_lower_extension,junctions,junction,junctions,0.35,,,,,,-0.6245568241,,,,,,,
val_salt_test_2_coarse_mesh_laminar,junction_lower_right_lower_stub,junctions,junction,junctions,0.4,,,,,,-0.3824057003,,,,,,,
val_salt_test_2_coarse_mesh_laminar,junction_lower_right_right_extension,junctions,junction,junctions,0.45,,,,,,-0.8097609531,,,,,,,
val_salt_test_2_coarse_mesh_laminar,junction_lower_right_right_step,junctions,junction,junctions,0.5,,,,,,0.0,,,,,,,
val_salt_test_2_coarse_mesh_laminar,junction_lower_right_right_stub,junctions,junction,junctions,0.55,,,,,,-5.108408383,,,,,,,
val_salt_test_2_coarse_mesh_laminar,junction_upper_left,junctions,junction,junctions,0.6,,,,,,-1.197630604,,,,,,,
val_salt_test_2_coarse_mesh_laminar,junction_upper_left_upper_extension,junctions,junction,junctions,0.65,,,,,,-4.610249361,,,,,,,
val_salt_test_2_coarse_mesh_laminar,junction_upper_left_upper_stub,junctions,junction,junctions,0.7,,,,,,-4.10458517,,,,,,,
val_salt_test_2_coarse_mesh_laminar,junction_upper_right,junctions,junction,junctions,0.75,,,,,,-1.228101505,,,,,,,
val_salt_test_2_coarse_mesh_laminar,junction_upper_right_right_extension,junctions,junction,junctions,0.8,,,,,,-0.8794214987,,,,,,,
val_salt_test_2_coarse_mesh_laminar,junction_upper_right_right_step,junctions,junction,junctions,0.85,,,,,,0.0,,,,,,,
val_salt_test_2_coarse_mesh_laminar,junction_upper_right_right_stub,junctions,junction,junctions,0.9,,,,,,-5.804414031,,,,,,,
val_salt_test_2_coarse_mesh_laminar,junction_upper_right_upper_extension,junctions,junction,junctions,0.95,,,,,,-2.196330867,,,,,,,
val_salt_test_2_coarse_mesh_laminar,junction_upper_right_upper_stub,junctions,junction,junctions,1.0,,,,,,-4.707496414,,,,,,,
val_salt_test_2_coarse_mesh_laminar,pipeleg_lower_01_fitting,lower_leg,transport,lower_transport,0.0,mdot_pipeleg_lower_05_straight,,454.7575496018523,,,-0.9832177141,,,,,-0.013655755579868005,0.013655755579868005,0.5058372630477427
val_salt_test_2_coarse_mesh_laminar,pipeleg_lower_02_straight,lower_leg,transport,lower_transport,0.125,mdot_pipeleg_lower_05_straight,,454.7575496018523,,,-2.133212528,,,,,-0.013655755579868005,0.013655755579868005,0.5058372630477427
val_salt_test_2_coarse_mesh_laminar,pipeleg_lower_03_bend,lower_leg,transport,lower_transport,0.25,mdot_pipeleg_lower_05_straight,,454.7575496018523,,,-0.2765382226,,,,,-0.013655755579868005,0.013655755579868005,0.5058372630477427
val_salt_test_2_coarse_mesh_laminar,pipeleg_lower_04_straight,lower_leg,heater,heater_branch,0.375,mdot_pipeleg_lower_05_straight,,454.7575496018523,,,81.36976634,,,,,-0.013655755579868005,0.013655755579868005,0.5058372630477427
val_salt_test_2_coarse_mesh_laminar,pipeleg_lower_05_straight,lower_leg,heater,heater_branch,0.5,mdot_pipeleg_lower_05_straight,,454.7575496018523,,,81.52597379,,,,,-0.013655755579868005,0.013655755579868005,0.5058372630477427
val_salt_test_2_coarse_mesh_laminar,pipeleg_lower_06_straight,lower_leg,heater,heater_branch,0.625,mdot_pipeleg_lower_05_straight,,454.7575496018523,,,81.78740867,,,,,-0.013655755579868005,0.013655755579868005,0.5058372630477427
