case_dir,top_level_folder,case_folder_name,has_meta_data_json,has_mat_file,file_count,NC1_U_rows,NC1_U_cols,u_csv,NC1_V_rows,NC1_V_cols,v_csv,NC1_X_rows,NC1_X_cols,x_csv,NC1_Y_rows,NC1_Y_cols,y_csv,metadata_path,metadata_parse_status,metadata_parse_error,start_date,start_time,measurement_date,measurement_time,metadata_power_hot_1_W,metadata_power_hot_2_W,metadata_power_cold_1_2_W,metadata_test_section_power_W,metadata_temperature_hot_1_C,metadata_temperature_hot_2_C,metadata_temperature_cold_1_2_C,metadata_volumetric_flow_rate_Lpm,files,candidate_heater_power_W,candidate_air_flow_Lpm,candidate_test_section_power_W,ready_for_validation_export,review_status,NC2_U_rows,NC2_U_cols,NC2_V_rows,NC2_V_cols,NC2_X_rows,NC2_X_cols,NC2_Y_rows,NC2_Y_cols,NC3_U_rows,NC3_U_cols,NC3_V_rows,NC3_V_cols,NC3_X_rows,NC3_X_cols,NC3_Y_rows,NC3_Y_cols,NC4_U_rows,NC4_U_cols,NC4_V_rows,NC4_V_cols,NC4_X_rows,NC4_X_cols,NC4_Y_rows,NC4_Y_cols,NC5_U_rows,NC5_U_cols,NC5_V_rows,NC5_V_cols,NC5_X_rows,NC5_X_cols,NC5_Y_rows,NC5_Y_cols,NC6_U_rows,NC6_U_cols,NC6_V_rows,NC6_V_cols,NC6_X_rows,NC6_X_cols,NC6_Y_rows,NC6_Y_cols,NC7_U_rows,NC7_U_cols,NC7_V_rows,NC7_V_cols,NC7_X_rows,NC7_X_cols,NC7_Y_rows,NC7_Y_cols,U_rows,U_cols,V_rows,V_cols,X_rows,X_cols,Y_rows,Y_cols,NC10_U_rows,NC10_U_cols,NC10_V_rows,NC10_V_cols,NC10_X_rows,NC10_X_cols,NC10_Y_rows,NC10_Y_cols,NC11_U_rows,NC11_U_cols,NC11_V_rows,NC11_V_cols,NC11_X_rows,NC11_X_cols,NC11_Y_rows,NC11_Y_cols,NC12_U_rows,NC12_U_cols,NC12_V_rows,NC12_V_cols,NC12_X_rows,NC12_X_cols,NC12_Y_rows,NC12_Y_cols,NC13_U_rows,NC13_U_cols,NC13_V_rows,NC13_V_cols,NC13_X_rows,NC13_X_cols,NC13_Y_rows,NC13_Y_cols,NC14_U_rows,NC14_U_cols,NC14_V_rows,NC14_V_cols,NC14_X_rows,NC14_X_cols,NC14_Y_rows,NC14_Y_cols,NC15_U_rows,NC15_U_cols,NC15_V_rows,NC15_V_cols,NC15_X_rows,NC15_X_cols,NC15_Y_rows,NC15_Y_cols,NC16_U_rows,NC16_U_cols,NC16_V_rows,NC16_V_cols,NC16_X_rows,NC16_X_cols,NC16_Y_rows,NC16_Y_cols,NC17_U_rows,NC17_U_cols,NC17_V_rows,NC17_V_cols,NC17_X_rows,NC17_X_cols,NC17_Y_rows,NC17_Y_cols,NC8_U_rows,NC8_U_cols,NC8_V_rows,NC8_V_cols,NC8_X_rows,NC8_X_cols,NC8_Y_rows,NC8_Y_cols,NC9_U_rows,NC9_U_cols,NC9_V_rows,NC9_V_cols,NC9_X_rows,NC9_X_cols,NC9_Y_rows,NC9_Y_cols
2024_03_13/1,2024_03_13,1,True,True,6,113.0,51.0,2024_03_13/1/NC1_U.csv,113.0,51.0,2024_03_13/1/NC1_V.csv,113.0,51.0,2024_03_13/1/NC1_X.csv,113.0,51.0,2024_03_13/1/NC1_Y.csv,2024_03_13/1/meta_data.json,repaired,"Expecting ',' delimiter: line 5 column 2 (char 90)",03/13/2024,15:57,03/14/2024,11:57,448.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,03132024_NC1_TransientWorkspace.mat;NC1_U.csv;NC1_V.csv;NC1_X.csv;NC1_Y.csv;meta_data.json,448.0,41.0,0.0,False,metadata_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024_03_13/2,2024_03_13,2,True,True,6,,,2024_03_13/2/NC2_U.csv,,,2024_03_13/2/NC2_V.csv,,,2024_03_13/2/NC2_X.csv,,,2024_03_13/2/NC2_Y.csv,2024_03_13/2/meta_data.json,repaired,"Expecting ',' delimiter: line 5 column 2 (char 90)",03/14/2024,12:16,03/14/2024,13:53,448.0,0.0,0.0,48.36,0.0,0.0,0.0,41.0,03132024_NC2_TransientWorkspace.mat;NC2_U.csv;NC2_V.csv;NC2_X.csv;NC2_Y.csv;meta_data.json,448.0,41.0,48.36,False,metadata_only,104.0,52.0,104.0,52.0,104.0,52.0,104.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024_03_13/3,2024_03_13,3,True,True,6,,,2024_03_13/3/NC3_U.csv,,,2024_03_13/3/NC3_V.csv,,,2024_03_13/3/NC3_X.csv,,,2024_03_13/3/NC3_Y.csv,2024_03_13/3/meta_data.json,repaired,"Expecting ',' delimiter: line 5 column 2 (char 90)",03/14/2024,14:03,03/14/2024,14:15,448.0,0.0,0.0,95.15,0.0,0.0,0.0,41.0,03132024_NC3_TransientWorkspace.mat;NC3_U.csv;NC3_V.csv;NC3_X.csv;NC3_Y.csv;meta_data.json,448.0,41.0,95.15,False,metadata_only,,,,,,,,,103.0,51.0,103.0,51.0,103.0,51.0,103.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024_05_04/1,2024_05_04,1,True,True,6,158.0,51.0,2024_05_04/1/NC1_U.csv,158.0,51.0,2024_05_04/1/NC1_V.csv,158.0,51.0,2024_05_04/1/NC1_X.csv,158.0,51.0,2024_05_04/1/NC1_Y.csv,2024_05_04/1/meta_data.json,repaired,"Expecting ',' delimiter: line 5 column 2 (char 90)",05/04/2024,14:15,05/04/2024,16:15,201.0,0.0,0.0,44.8,0.0,0.0,0.0,37.0,05042024_NC1_TransientWorkspace.mat;NC1_U.csv;NC1_V.csv;NC1_X.csv;NC1_Y.csv;meta_data.json,201.0,37.0,44.8,False,metadata_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024_05_04/2,2024_05_04,2,True,True,6,,,2024_05_04/2/NC2_U.csv,,,2024_05_04/2/NC2_V.csv,,,2024_05_04/2/NC2_X.csv,,,2024_05_04/2/NC2_Y.csv,2024_05_04/2/meta_data.json,repaired,"Expecting ',' delimiter: line 5 column 2 (char 90)",05/04/2024,16:22,05/04/2024,17:47,258.0,0.0,0.0,44.8,0.0,0.0,0.0,37.0,05042024_NC2_TransientWorkspace.mat;NC2_U.csv;NC2_V.csv;NC2_X.csv;NC2_Y.csv;meta_data.json,258.0,37.0,44.8,False,metadata_only,158.0,51.0,158.0,51.0,158.0,51.0,158.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024_05_04/3,2024_05_04,3,True,True,6,,,2024_05_04/3/NC3_U.csv,,,2024_05_04/3/NC3_V.csv,,,2024_05_04/3/NC3_X.csv,,,2024_05_04/3/NC3_Y.csv,2024_05_04/3/meta_data.json,repaired,"Expecting ',' delimiter: line 5 column 2 (char 90)",05/04/2024,18:10,05/04/2024,19:50,295.0,0.0,0.0,44.8,0.0,0.0,0.0,37.0,05042024_NC3_TransientWorkspace.mat;NC3_U.csv;NC3_V.csv;NC3_X.csv;NC3_Y.csv;meta_data.json,295.0,37.0,44.8,False,metadata_only,,,,,,,,,158.0,51.0,158.0,51.0,158.0,51.0,158.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024_05_04/4,2024_05_04,4,True,True,6,,,2024_05_04/4/NC4_U.csv,,,2024_05_04/4/NC4_V.csv,,,2024_05_04/4/NC4_X.csv,,,2024_05_04/4/NC4_Y.csv,2024_05_04/4/meta_data.json,repaired,"Expecting ',' delimiter: line 5 column 2 (char 90)",05/04/2024,19:54,05/04/2024,21:45,362.0,0.0,0.0,44.8,0.0,0.0,0.0,37.0,05042024_NC4_TransientWorkspace.mat;NC4_U.csv;NC4_V.csv;NC4_X.csv;NC4_Y.csv;meta_data.json,362.0,37.0,44.8,False,metadata_only,,,,,,,,,,,,,,,,,158.0,51.0,158.0,51.0,158.0,51.0,158.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024_05_04/5,2024_05_04,5,True,True,6,,,2024_05_04/5/NC5_U.csv,,,2024_05_04/5/NC5_V.csv,,,2024_05_04/5/NC5_X.csv,,,2024_05_04/5/NC5_Y.csv,2024_05_04/5/meta_data.json,repaired,"Expecting ',' delimiter: line 5 column 2 (char 90)",05/04/2024,21:56,05/04/2024,23:48,410.0,0.0,0.0,44.8,0.0,0.0,0.0,37.0,05042024_NC5_TransientWorkspace.mat;NC5_U.csv;NC5_V.csv;NC5_X.csv;NC5_Y.csv;meta_data.json,410.0,37.0,44.8,False,metadata_only,,,,,,,,,,,,,,,,,,,,,,,,,158.0,51.0,158.0,51.0,158.0,51.0,158.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024_05_04/6,2024_05_04,6,True,True,6,,,2024_05_04/6/NC6_U.csv,,,2024_05_04/6/NC6_V.csv,,,2024_05_04/6/NC6_X.csv,,,2024_05_04/6/NC6_Y.csv,2024_05_04/6/meta_data.json,repaired,"Expecting ',' delimiter: line 5 column 2 (char 90)",05/04/2024,21:56,05/05/2024,06:25,395.0,0.0,0.0,44.8,0.0,0.0,0.0,37.0,05042024_NC6_TransientWorkspace.mat;NC6_U.csv;NC6_V.csv;NC6_X.csv;NC6_Y.csv;meta_data.json,395.0,37.0,44.8,False,metadata_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.0,51.0,158.0,51.0,158.0,51.0,158.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024_05_04/7,2024_05_04,7,True,True,6,,,2024_05_04/7/NC7_U.csv,,,2024_05_04/7/NC7_V.csv,,,2024_05_04/7/NC7_X.csv,,,2024_05_04/7/NC7_Y.csv,2024_05_04/7/meta_data.json,repaired,"Expecting ',' delimiter: line 5 column 2 (char 90)",05/05/2024,06:31,05/05/2024,07:56,453.0,0.0,0.0,44.8,0.0,0.0,0.0,37.0,05042024_NC7_TransientWorkspace.mat;NC7_U.csv;NC7_V.csv;NC7_X.csv;NC7_Y.csv;meta_data.json,453.0,37.0,44.8,False,metadata_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.0,51.0,158.0,51.0,158.0,51.0,158.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
